date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:11	4165/4165	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202012%2015:16:54%20GMT	http://twitter.github.com/robots.txt		(from )
16:17:11	12388/12388	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/	twitter.github.com/bootstrap/index.html	(from )
16:17:18	81443/81443	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/css/bootstrap.css	twitter.github.com/bootstrap/assets/css/bootstrap.css	(from )
16:17:18	10543/10543	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/css/bootstrap-responsive.css	twitter.github.com/bootstrap/assets/css/bootstrap-responsive.css	(from )
16:17:19	15972/15972	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/css/docs.css	twitter.github.com/bootstrap/assets/css/docs.css	(from )
16:17:19	815/815	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/google-code-prettify/prettify.css	twitter.github.com/bootstrap/assets/js/google-code-prettify/prettify.css	(from )
16:17:19	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/ico/favicon.ico	twitter.github.com/bootstrap/assets/ico/favicon.ico	(from )
16:17:19	14762/14762	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202012%2015:17:02%20GMT	http://twitter.github.com/bootstrap/assets/ico/apple-touch-icon.png	twitter.github.com/bootstrap/assets/ico/apple-touch-icon.5.delayed	(from )
16:17:19	14762/14762	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202012%2015:17:02%20GMT	http://twitter.github.com/bootstrap/assets/ico/apple-touch-icon-72x72.png	twitter.github.com/bootstrap/assets/ico/apple-touch-icon-72x72.6.delayed	(from )
16:17:20	14762/14762	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202012%2015:17:03%20GMT	http://twitter.github.com/bootstrap/assets/ico/apple-touch-icon-114x114.png	twitter.github.com/bootstrap/assets/ico/apple-touch-icon-114x114.7.delayed	(from )
16:17:20	12388/12388	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/index.html	twitter.github.com/bootstrap/index-2.html	(from )
16:17:20	16001/16001	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:23%20GMT	http://twitter.github.com/bootstrap/scaffolding.html	twitter.github.com/bootstrap/scaffolding.html	(from )
16:17:20	57961/57961	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202012%2006:35:23%20GMT	http://twitter.github.com/bootstrap/base-css.html	twitter.github.com/bootstrap/base-css.html	(from )
